,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_afghan,hash_afghanistan,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_tiktok,hash_viral,hash_پشتون_تاجیک_هزاره_ازبک_زنده_باد
7,TR,7099550231699705090,1652992852, ,6963964301909427201,Yeliz damar,Yeliz damar Saç ekimi ve estetik hizmetleri,0,False,https://www.tiktok.com/@yeliz_damar/video/7099550231699705090?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099550231699705090&source=h5_m,10395204,344,913,3501,55270,7085264448973884162,7085264448973884162,72,7085264448973884162,original sound - konulyrics (Contains music from: yarım kalır - Sefo & Revart),"Contains music from: ""yarım kalır""",6.652338350836826e+18,Konulyrics,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7085264456812399362.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4c5e0ee3274a3c0b82eb5c363d28301e.json,False,False,Sefo & Revart,yarım kalır,original sound - konulyrics (Contains music from: yarım kalır - Sefo & Revart),"Contains music from: ""yarım kalır""",[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
0,AF,7101261970011213058,1653391397,اولین بار عشقت را کجا دیدی؟💔🤞🏻🖤🧸,7065559641568429058,itx_Hotak_SaiB,Follow my Instagram💫❤️‍🔥☝🏻,0,False,https://www.tiktok.com/@itx__hotak_saib/video/7101261970011213058?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101261970011213058&source=h5_m,30892,214,306,160,1501,7099514535622511361,7099514535622511361,72,7099514535622511361,original sound - karim_._jan,𓆩❤︎𓆪:GhamdRoOn:𓆩❤︎𓆪,6.868191983580579e+18,𓆩❤︎𓆪:GhamdRoOn:𓆩❤︎𓆪,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099514517381597953.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d9ce8325a407ac65522dce6693420c7e.json,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
1,AF,7083365682338974978,1649224594,#دوستان حمایت کنین 😞🥺#لاالەالااللە #یارب_العلمین #الله #یاالله #مسلمانان #افغانستان_زیبا #fypシ゚viral #foruourpage ##astori #astori #افغانستان_زیبا,7066389758243865601,احسان الله حیدری285,"🥀حسبی الله🥀        
♥️لطفا فالو لایک کنید♥️   
🥀Pleas fallow me for 50k",0,False,https://www.tiktok.com/@haidari__00/video/7083365682338974978?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083365682338974978&source=h5_m,43303,179,96,1552,5809,6800808731064961798,6800808731064961798,72,6800808731064961798,original sound - zhwbin (Contains music from: Janaan Laram - Usman Jani),"Contains music from: ""Janaan Laram""",6.787135662774732e+18,zhwbin,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1660358649697285.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/67e40410720fcab7df88a866bdf34aa1.json,False,False,Usman Jani,Janaan Laram,original sound - zhwbin (Contains music from: Janaan Laram - Usman Jani),"Contains music from: ""Janaan Laram""",[],0,0,Afghanistan,#دوستان #لاالەالااللە #یارب_العلمین #الله #یاالله #مسلمانان #افغانستان_زیبا #fypシ゚viral #foruourpage ##astori #astori #افغانستان_زیبا,0,0,0,0,0,0,1,0,1,0
2,DE,7099787176602307846,1653048021,#💋💋💋 #bahar❤❤ #😂😂😂😂😂😂😂😂😂 #fryoupage,6760290479408399365,شادخت کابل جان🧿💙🇦🇫🇦🇫🇦?,🖤❤💚,0,False,https://www.tiktok.com/@princess_bahar_12/video/7099787176602307846?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099787176602307846&source=h5_m,365183,329,550,14,8884,7096109988480961285,7096109988480961285,72,7096109988480961285,original sound - loy_dokhtarak_kabul_122 (Contains music from: Khanagee Mix - Rahe Jahani),"Contains music from: ""Khanagee Mix""",7.021071428276209e+18,نازدانه گک😘,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096110014699981573.mp3,,False,False,Rahe Jahani,Khanagee Mix,original sound - loy_dokhtarak_kabul_122 (Contains music from: Khanagee Mix - Rahe Jahani),"Contains music from: ""Khanagee Mix""",[],0,0,Afghanistan,#💋💋💋 #bahar❤❤ #😂😂😂😂😂😂😂😂😂 #fryoupage,0,0,0,0,0,0,0,0,0,0
3,AE,7102787293622095105,1653746539,اگه د جاى اىن خانم هر کس باشد استرس ميگيره😁#پشتون_تاجیک_هزاره_ازبک_زنده_باد🇦🇫 #تیک_تاک_افغانی #afghanistan #viral #afghanboy #afghangirl,7088011074029618178,افلاطون✅,🇦🇫,0,False,https://www.tiktok.com/@aflatoon__420/video/7102787293622095105?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102787293622095105&source=h5_m,99734,66,95,9,1723,7042544354736490498,7042544354736490498,10033,7042544354736490498,Laughing hard,Bytes,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d19d305b636240cabcc0188a7b67c71f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ac00d5981636499a9237675785430b7e,False,True,,,,,[],0,0,Afghanistan,#پشتون_تاجیک_هزاره_ازبک_زنده_باد🇦🇫 #تیک_تاک_افغانی #afghanistan #viral #afghanboy #afghangirl,0,1,0,0,0,0,0,0,1,1
4,US,7093198564318383406,1651513989,Undereye filler#awake#metgala#undereyefiller#FORDfortheBuilders#panaceaaesthetics#tik tok#undereyebags#injectornurse#beautiful#fyp,6807177248060474373,Panacea Aesthetics & Wellness,"Panacea Aesthetics
(949)9450906
881 Dover Dr Suite 250, Newport Beach CA 92663",0,False,https://www.tiktok.com/@panaceaaesthetics/video/7093198564318383406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093198564318383406&source=h5_m,936313,124,638,699,7336,7082602642932812587,7082602642932812587,72,7082602642932812587,original sound - big_ruck (Contains music from: Tony Hawk’s - Miracle),"Contains music from: ""Tony Hawk’s""",7.001537264241247e+18,Semi🚛Truck,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7082602689913178922.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/299e5bcc04daf6abc6303a2c3d3c1cab.json,False,False,Miracle,Tony Hawk’s,original sound - big_ruck (Contains music from: Tony Hawk’s - Miracle),"Contains music from: ""Tony Hawk’s""",[],0,0,Afghanistan,#awake#metgala#undereyefiller#FORDfortheBuilders#panaceaaesthetics#tik #undereyebags#injectornurse#beautiful#fyp,0,0,0,0,0,1,0,0,0,0
5,US,7101739965880552705,1653502688,they arrested me after.. #fyp #fakebody,6724715071983354886,Natalie Reynolds,"Link in ig bio 💗🌶
18",0,False,https://www.tiktok.com/@nataliereynoldsx/video/7101739965880552705?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101739965880552705&source=h5_m,3982029,1040,2357,70,171732,7018543928358062853,7018543928358062853,72,7018543928358062853,original sound - carolinaabreu98 (Contains music from: ICE - MORGENSHTERN),"Contains music from: ""ICE""",6.800586233208735e+18,Carolina Abreu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7018543987636095749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/df44688ffc3b8ee0ca5f09ecbd7d3b0a.json,False,False,MORGENSHTERN,ICE,original sound - carolinaabreu98 (Contains music from: ICE - MORGENSHTERN),"Contains music from: ""ICE""",[],0,0,Afghanistan,#fyp #fakebody,0,0,0,0,0,1,0,0,0,0
6,TR,7085264106768338178,1649666605,Sen olsan ne yapardın 😂Kanka gönder oda görsün 😂😂#şakaşaka #oyna #oynatbakalım #komikk #gülgülöldük #komediid #kesfet #fypシ #kesfetteyiz,7040878424081187842,Özcan,"19
İnsta ozcangazi_
HATAY",0,False,https://www.tiktok.com/@ozcangazi_/video/7085264106768338178?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085264106768338178&source=h5_m,18388447,5111,26097,32820,328637,7085264091459570433,7085264091459570433,72,7085264091459570433,original sound - ozcangazi_,Özcan,7.040878424081188e+18,Özcan,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7085264098207877890.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b175c4911015f2fd8bf2f804249d9cb2.json,False,False,,,,,[],0,0,Afghanistan,#şakaşaka #oyna #oynatbakalım #komikk #gülgülöldük #komediid #kesfet #fypシ #kesfetteyiz,0,0,0,0,0,0,1,0,0,0
7,PK,7102018048806194458,1653567434,#NeelamMuneer #foryoupage #fypシ,6955029632174556162,Neelam Muneer,Pyar Deewangi hai Episode 3👇,0,False,https://www.tiktok.com/@neelam_heaven_/video/7102018048806194458?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102018048806194458&source=h5_m,9448266,1048,1995,16200,330432,7102018052568419099,7102018052568419099,72,7102018052568419099,original sound - neelam_heaven_,Neelam Muneer,6.955029632174556e+18,Neelam Muneer,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7102018065809885978.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a85ce5207e84699a278a3afd8b7b98a7.json,False,False,,,,,[],0,0,Afghanistan,#NeelamMuneer #foryoupage #fypシ,0,0,0,1,0,0,1,0,0,0
0,AF,7100976105313651969,1653324839,#دیوانه وار ګشتیم #هوشیار شناختیم#با خام ګشتیم پخته پخته راشناختیم#😎😎😎🔥🔥,7098194308726326278,GRــــــSــAــDــAــM😍😍,"#ښه انسان ووسه..!
#ترڅو نور درسره..
#دویری پر ځای..
#دسکون احساس وکړی...",0,False,https://www.tiktok.com/@pksadam/video/7100976105313651969?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100976105313651969&source=h5_m,1274,8,10,7,103,7100976098019724033,7100976098019724033,72,7100976098019724033,original sound - pksadam (Contains music from: La Dava - Ben Büdü),"Contains music from: ""La Dava""",7.098194308726326e+18,GRــــــSــAــDــAــM😍😍,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7100976050351508225.mp3,,False,False,Ben Büdü,La Dava,original sound - pksadam (Contains music from: La Dava - Ben Büdü),"Contains music from: ""La Dava""",[],0,0,Afghanistan,#دیوانه #هوشیار #با #😎😎😎🔥🔥,0,0,0,0,0,0,0,0,0,0
